Informazioni cronologiche,Università frequentata,Età,Ti consideri un pendolare,Quanto tempo impieghi per raggiungere la tua università?,Che percentuale di lezione frequenti?,Qual è la tua media? (su 30),Sei fuori sede?,Che mezzo usi per raggiungere l'università,Penso che essere pendolare influisca negativamente sul mio studio,Ho poco tempo per studiare,Penso potrei avere una media più alta se abitassi più vicino all'università,Non ho abbastanza tempo da dedicare ai miei hobby/sport,Andare in università è stressante,Non dormo abbastanza ore,Faccio fatica a trovare il tempo per vedere i miei amici,Faccio fatica a passare del tempo con la mia famiglia,A volte soffro di solitudine
16/11/2024 21.17.09,Bocconi ,20,No,Dai 10 ai 30 minuti,Più del 75%,28,Si,,,3,1,3,4,6,4,5,2
16/11/2024 21.17.56,Bocconi,20,No,Meno di 10 minuti,Dal 50% al 75%,29.27,Si,,,3,3,6,1,1,2,9,1
16/11/2024 21.23.35,Bocconi,20,No,Meno di 10 minuti,Meno del 25%,30,Si,,,1,1,1,1,1,1,1,1
16/11/2024 22.16.42,Università Luigi Bocconi di Milano,20,No,Meno di 10 minuti,Più del 75%,27.03,Si,,,4,5,4,8,3,4,10,7
17/11/2024 8.59.59,Bocconi,20,No,Dai 10 ai 30 minuti,Meno del 25%,29,Si,,,3,6,3,6,1,1,8,6
17/11/2024 10.51.20,Bocconi,20,No,Meno di 10 minuti,Dal 50% al 75%,28.5,Si,,,6,1,9,8,5,7,9,10
17/11/2024 11.37.29,politecnico di milano,20,No,Da 1 ora a 1 ora e mezza,Meno del 25%,22,No,,,5,8,2,9,2,3,3,2
17/11/2024 11.49.20,Politecnico di Milano,20,Si,Da 30 minuti a 1 ora,Dal 25% al 50%,22,,"Metro, Treno, Auto",8,6,7,1,1,10,1,1,10
17/11/2024 13.31.03,Politecnico di Milano ,20,Si,Da 30 minuti a 1 ora,Più del 75%,25.53,,"Metro, Treno, Auto",6,7,5,7,4,8,8,8,2
17/11/2024 14.58.16,Universita del piemonte orientale,21,No,Dai 10 ai 30 minuti,Dal 50% al 75%,21,No,,,4,2,3,8,8,5,8,7
17/11/2024 14.59.01,università del piemonte orientale ,20,Si,Da 30 minuti a 1 ora,Più del 75%,29,,"Treno, Auto",7,8,9,6,6,6,7,7,1
17/11/2024 14.59.27,Psicologia (Milano Bicocca),20,Si,Da 1 ora a 1 ora e mezza,Dal 25% al 50%,"Sono al primo anno, non ho ancora voti ",,"A piedi, Pullman, Metro",10,10,10,10,10,10,7,10,7
17/11/2024 15.01.03,UPO,20,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,21,,"A piedi, Pullman",7,8,9,10,5,7,6,7,5
17/11/2024 15.01.04,Uniupo,20,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,Ho dato solo un esame di cui aspetto gli esiti,,"Pullman, Auto",3,4,3,8,8,8,6,5,4
17/11/2024 15.01.20,università del piemonte orientale ,20,Si,Da 1 ora a 1 ora e mezza,Più del 75%,25,,"Treno, Auto",10,8,10,10,10,10,10,10,10
17/11/2024 15.05.05,uniupo,19,Si,Da 1 ora a 1 ora e mezza,Più del 75%,21,,"A piedi, Treno, Auto",8,9,10,10,9,8,8,3,7
17/11/2024 15.10.24,Università del Piemonte orientale ,22,Si,Da 1 ora a 1 ora e mezza,Più del 75%,24,,Treno,8,6,7,5,8,6,6,6,6
17/11/2024 15.37.03,Statale di Milano ,21,Si,Da 1 ora a 1 ora e mezza,Più del 75%,25,,"A piedi, Metro, Treno",7,5,6,8,9,3,6,6,9
17/11/2024 15.37.03,Politecnico di Milano ,21,Si,Da 30 minuti a 1 ora,Più del 75%,25,,Treno,6,6,10,7,7,8,3,4,1
17/11/2024 15.40.29,Polimi,21,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,28,,"Treno, Auto",2,4,3,7,5,3,4,6,1
17/11/2024 15.40.49,Politecnico di Milano,20,No,Da 30 minuti a 1 ora,Dal 50% al 75%,"23,6",No,,,9,4,7,5,8,5,8,1
17/11/2024 15.44.57,Unimi,21,Si,Da 1 ora a 1 ora e mezza,Più del 75%,25,,"A piedi, Metro, Treno, Auto",7,7,8,10,6,4,7,7,1
17/11/2024 15.48.41,Università degli studi di Milano ,20,Si,2 ore o di più,Dal 50% al 75%,Non ho ancora una media ,,"Metro, Tram, Treno",8,8,4,7,6,4,7,6,1
17/11/2024 15.50.01,unimi ,24,Si,Da 1 ora a 1 ora e mezza,Più del 75%,23,,"Metro, Treno",10,10,8,10,5,5,8,7,3
17/11/2024 15.52.17,uniupo,22,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,25,,"Treno, Auto",8,7,9,9,5,10,1,8,1
17/11/2024 15.57.58,Università degli Studi di Milano ,21,Si,2 ore o di più,Più del 75%,26,,"A piedi, Metro, Treno, Auto",8,10,9,9,9,9,9,8,8
17/11/2024 16.21.56,Milano Bicocca,20,Si,Da 30 minuti a 1 ora,Meno del 25%,28,,"Metro, Treno",2,3,2,1,1,2,2,2,5
17/11/2024 16.55.29,Politecnico di Milano,21,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,22.75,,"A piedi, Metro, Treno",6,6,7,8,8,3,7,7,2
17/11/2024 16.57.25,Polimi,21,Si,Meno di 10 minuti,Più del 75%,25,,Auto,10,8,8,8,1,1,10,10,10
17/11/2024 17.00.04,Liuc,21,No,Da 30 minuti a 1 ora,Dal 50% al 75%,27,No,,,4,3,2,9,6,2,2,5
17/11/2024 17.13.20,Università degli studi di milano,22,Si,2 ore o di più,Più del 75%,20/25,,"A piedi, Tram, Treno",7,8,6,5,8,10,5,7,7
17/11/2024 17.16.50,statale di milano,21,Si,Da 1 ora a 1 ora e mezza,Più del 75%,"27,5",,"A piedi, Metro, Treno, Auto",8,9,9,9,8,8,3,3,2
17/11/2024 17.21.28,Cattolica ,20,No,Dai 10 ai 30 minuti,Dal 25% al 50%,24,No,,,7,3,8,8,8,7,9,8
17/11/2024 17.56.56,Università del Piemonte orientale,20,Si,Da 30 minuti a 1 ora,Dal 25% al 50%,24,,Auto,5,5,2,4,1,1,1,1,1
17/11/2024 18.00.55,upo,20,Si,Da 30 minuti a 1 ora,Dal 25% al 50%,22,,"A piedi, Treno, Auto",7,8,5,7,8,9,8,6,4
17/11/2024 19.16.41,Università del piemonte orientale ,19,No,Meno di 10 minuti,Più del 75%,non ho ancora dato esami,Si,,,8,9,9,6,7,8,9,9
17/11/2024 19.19.15,Medicina Upo,20,No,Meno di 10 minuti,Più del 75%,Non ancora valutabile ,Si,,,3,10,3,3,5,8,8,1
